,word,Male Count,Female Count,Difference,male,female,Difference %,Abs Difference %
9376,draft,168.0,215.0,-47.0,0.00879136520482311,0.026453073478025495,-0.017661708273202383,0.017661708273202383
498,page,1249.0,673.0,576.0,0.06535961393347657,0.08280427186377282,-0.017444657930296245,0.017444657930296245
1672,similar,1205.0,371.0,834.0,0.06305711352268957,0.04564693144347655,0.01741018207921302,0.01741018207921302
3812,esdin,351.0,8.0,343.0,0.018367673731505427,0.0009843004084846695,0.017383373323020757,0.017383373323020757
701,throughout,1031.0,579.0,452.0,0.05395177098912278,0.07123874206407796,-0.01728697107495518,0.01728697107495518
7241,gender,59.0,165.0,-106.0,0.0030874437326462115,0.02030119592499631,-0.0172137521923501,0.0172137521923501
397,need,5588.0,2237.0,3351.0,0.29241755216994963,0.2752350017225257,0.01718255044742395,0.01718255044742395
20695,launchpad,258.0,249.0,9.0,0.013501025135978348,0.03063635021408534,-0.017135325078106993,0.017135325078106993
566,knows,1386.0,451.0,935.0,0.07252876293979066,0.05548993552832325,0.017038827411467408,0.017038827411467408
1166,sets,960.0,270.0,690.0,0.05023637259898921,0.03322013878635759,0.017016233812631613,0.017016233812631613
4400,casey,28.0,150.0,-122.0,0.0014652275341371852,0.018455632659087555,-0.01699040512495037,0.01699040512495037
6523,eggert,334.0,4.0,330.0,0.01747807130006499,0.0004921502042423348,0.016985921095822656,0.016985921095822656
86,grading,3695.0,1709.0,1986.0,0.19335770495131782,0.21027117476253754,-0.016913469811219717,0.016913469811219717
396,professors,3527.0,1363.0,2164.0,0.1845663397464947,0.16770018209557558,0.016866157650919117,0.016866157650919117
5395,smallberg,322.0,0.0,322.0,0.01685011664257763,0.0,0.01685011664257763,0.01685011664257763
1053,humor,589.0,114.0,475.0,0.030822107771671502,0.01402628082090654,0.016795826950764963,0.016795826950764963
165,teaches,1697.0,586.0,1111.0,0.08880325447967154,0.07210000492150205,0.016703249558169486,0.016703249558169486
67,office,6078.0,2450.0,3628.0,0.3180590340173504,0.3014420000984301,0.016617033918920332,0.016617033918920332
1299,calculus,677.0,153.0,524.0,0.03542710859324551,0.018824745312269305,0.016602363280976203,0.016602363280976203
4258,programming,434.0,50.0,384.0,0.022711026779126366,0.006151877553029184,0.01655914922609718,0.01655914922609718
196,find,2247.0,822.0,1425.0,0.1175845096145091,0.1011368669717998,0.0164476426427093,0.0164476426427093
503,entertaining,756.0,188.0,568.0,0.039561143421704,0.023131059599389735,0.016430083822314263,0.016430083822314263
5828,women,44.0,152.0,-108.0,0.002302500410787005,0.018701707761208722,-0.01639920735042172,0.01639920735042172
3098,pang,419.0,45.0,374.0,0.02192608345726716,0.005536689797726266,0.016389393659540896,0.016389393659540896
1750,1,2998.0,1407.0,1591.0,0.15688400526226,0.17311383434224126,-0.016229829079981245,0.016229829079981245
717,quite,2372.0,879.0,1493.0,0.12412570396333582,0.10815000738225305,0.015975696581082763,0.015975696581082763
5393,code,555.0,108.0,447.0,0.029042902908790632,0.013288055514543037,0.015754847394247595,0.015754847394247595
428,improve,415.0,304.0,111.0,0.02171676523810471,0.037403415522417445,-0.015686650284312736,0.015686650284312736
925,selling,2032.0,737.0,1295.0,0.10633365533452716,0.09067867513165018,0.015654980202876978,0.015654980202876978
1382,language,496.0,337.0,159.0,0.025955459176144422,0.041463654707416704,-0.015508195531272282,0.015508195531272282
620,review,3827.0,1502.0,2325.0,0.20026520618367885,0.1848024016929967,0.015462804490682158,0.015462804490682158
1813,generous,973.0,289.0,684.0,0.05091665681126718,0.03555785225650868,0.0153588045547585,0.0153588045547585
776,smart,653.0,153.0,500.0,0.03417119927827078,0.018824745312269305,0.015346453966001476,0.015346453966001476
1036,learned,2820.0,1324.0,1496.0,0.14756934450953077,0.16290171760421282,-0.01533237309468205,0.01533237309468205
5484,worksheets,488.0,332.0,156.0,0.02553682273781951,0.040848466952113784,-0.015311644214294273,0.015311644214294273
15453,tienson,14.0,130.0,-116.0,0.0007326137670685926,0.01599488163787588,-0.015262267870807287,0.015262267870807287
2657,opportunities,332.0,265.0,67.0,0.017373412190483765,0.03260495103105468,-0.015231538840570914,0.015231538840570914
1023,baugh,300.0,4.0,296.0,0.015698866437184125,0.0004921502042423348,0.01520671623294179,0.01520671623294179
169,helpful,5774.0,2579.0,3195.0,0.30215084936100384,0.31731384418524533,-0.015162994824241494,0.015162994824241494
2696,grammar,146.0,185.0,-39.0,0.007640114999429608,0.022761946946207985,-0.015121831946778377,0.015121831946778377
1329,$,1704.0,602.0,1102.0,0.08916956136320583,0.07406860573847138,0.015100955624734458,0.015100955624734458
