class,difference,department,Class_Cap
"EDUC 412 - SAX, L.J.",0,,"EDUC 412 - SAX, L.J."
"EDUC 596 - HIPOLITO, E.D.",0,,"EDUC 596 - HIPOLITO, E.D."
"AF AMER 188A - GREEN, C.D.",0,,"AF AMER 188A - GREEN, C.D."
"MGMT 182 - ULLMEN, J.B.",0,,"MGMT 182 - ULLMEN, J.B."
"MGMT 180 - ULLMEN, J.B.",0,,"MGMT 180 - ULLMEN, J.B."
"FILM TV 183A - FRANKLIN, A.S.",0,,"FILM TV 183A - FRANKLIN, A.S."
"MECH&AE 256F - GUPTA, V.",0,,"MECH&AE 256F - GUPTA, V."
"MUSC 7 - KROUSE, I.",0,,"MUSC 7 - KROUSE, I."
"MED 180 - MORENO, G.",0,,"MED 180 - MORENO, G."
"ETHNMUS 168F - KAUSHAL, A.",0,,"ETHNMUS 168F - KAUSHAL, A."
"ETHNMUS 168A - LI, C.",0,,"ETHNMUS 168A - LI, C."
"ENGR 203 - SILVERMAN, S.J.",0,,"ENGR 203 - SILVERMAN, S.J."
"ENGR 206 - KUNG, K.C.",0,,"ENGR 206 - KUNG, K.C."
"MGMT 180 - GEBHARDT, C.",0,,"MGMT 180 - GEBHARDT, C."
"EDUC 98 - TUNSTALL, J.D.",-0.0001,,"EDUC 98 - TUNSTALL, J.D."
"PSYCTRY 175 - BELZER, M.G.",-0.0039,,"PSYCTRY 175 - BELZER, M.G."
"EDUC 92F - AMAH, I.A.",-0.004267467,,"EDUC 92F - AMAH, I.A."
"PUB AFF 10 - COVINGTON, K.L.",-0.005634976,,"PUB AFF 10 - COVINGTON, K.L."
"MGMTEX 440 - GOLDSTEIN, N.J.",-0.009115015,,"MGMTEX 440 - GOLDSTEIN, N.J."
"ECON 122 - MCDEVITT, E.P.",-0.010184934,,"ECON 122 - MCDEVITT, E.P."
"CHICANO M155A - ORTIZ, V.",-0.010856344,,"CHICANO M155A - ORTIZ, V."
"SPAN 170 - DE LA TORRE, L.",-0.011059111,,"SPAN 170 - DE LA TORRE, L."
"THEATER 120A - OLIVIERI, J.M.",-0.01614491,,"THEATER 120A - OLIVIERI, J.M."
