"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"19F","PHYSICS","231A","1","B+",3,18,"D'HOKER, E.","1","Methods of Mathematical Physics","255",3.3
"19F","PHYSICS","231A","1","B",1,18,"D'HOKER, E.","1","Methods of Mathematical Physics","255",3
"19F","PHYSICS","231A","1","S",2,18,"D'HOKER, E.","1","Methods of Mathematical Physics","255",0
"19F","PHYSICS","241A","1","A+",2,13,"TSERKOVNYAK, Y.","1","Solid-State Physics","255",4
"19F","PHYSICS","241A","1","A",6,13,"TSERKOVNYAK, Y.","1","Solid-State Physics","255",4
"19F","PHYSICS","241A","1","A-",5,13,"TSERKOVNYAK, Y.","1","Solid-State Physics","255",3.7
"19F","PHYSICS","242A","1","A",5,12,"CHAKRAVARTY, S.","1","Advanced Solid-State Theory","255",4
"19F","PHYSICS","242A","1","S",7,12,"CHAKRAVARTY, S.","1","Advanced Solid-State Theory","255",0
"19F","PHYSICS","291","1","S",11,11,"GUTPERLE, M.","1","Research Tutorial: Elementary Particle Theory","255",0
"19F","PHYSICS","293","1","P",1,32,"TSERKOVNYAK, Y.","1","Research Tutorial: Current Topics in Physics","255",-1
"","","","","",NA,NA,"","","","",0
"19F","PHYSICS","293","1","S",31,32,"TSERKOVNYAK, Y.","1","Research Tutorial: Current Topics in Physics","255",0
"19F","PHYSICS","375","1","S",12,12,"ARISAKA, K.","1","Teaching Apprentice Practicum","255",0
"19F","PHYSICS","375","8","S",12,12,"CORONITI, F.","1","Teaching Apprentice Practicum","255",0
"19F","PHYSICS","495","1","U",1,37,"HUDSON, E.R.","1","Teaching College Physics","255",0
"19F","PHYSICS","495","1","S",36,37,"HUDSON, E.R.","1","Teaching College Physics","255",0
"19F","POL SCI","10","1","A+",43,349,"PANAGIA, D.","1","Introduction to Political Theory","255",4
"19F","POL SCI","10","1","A",94,349,"PANAGIA, D.","1","Introduction to Political Theory","255",4
"19F","POL SCI","10","1","A-",66,349,"PANAGIA, D.","1","Introduction to Political Theory","255",3.7
"19F","POL SCI","10","1","B+",49,349,"PANAGIA, D.","1","Introduction to Political Theory","255",3.3
"19F","POL SCI","10","1","B",51,349,"PANAGIA, D.","1","Introduction to Political Theory","255",3
"19F","POL SCI","10","1","B-",19,349,"PANAGIA, D.","1","Introduction to Political Theory","255",2.7
"19F","POL SCI","10","1","C+",6,349,"PANAGIA, D.","1","Introduction to Political Theory","255",2.3
"19F","POL SCI","10","1","C",7,349,"PANAGIA, D.","1","Introduction to Political Theory","255",2
"19F","POL SCI","10","1","C-",2,349,"PANAGIA, D.","1","Introduction to Political Theory","255",1.7
"19F","POL SCI","10","1","D+",2,349,"PANAGIA, D.","1","Introduction to Political Theory","255",1.3
"19F","POL SCI","10","1","F",3,349,"PANAGIA, D.","1","Introduction to Political Theory","255",0
"19F","POL SCI","10","1","I",6,349,"PANAGIA, D.","1","Introduction to Political Theory","255",0
"19F","POL SCI","10","1","P",1,349,"PANAGIA, D.","1","Introduction to Political Theory","255",-1
"19F","POL SCI","20","1","A+",18,234,"MIN, E.A.","1","World Politics","255",4
"19F","POL SCI","20","1","A",70,234,"MIN, E.A.","1","World Politics","255",4
"19F","POL SCI","20","1","A-",42,234,"MIN, E.A.","1","World Politics","255",3.7
"19F","POL SCI","20","1","B+",25,234,"MIN, E.A.","1","World Politics","255",3.3
"19F","POL SCI","20","1","B",25,234,"MIN, E.A.","1","World Politics","255",3
"19F","POL SCI","20","1","B-",19,234,"MIN, E.A.","1","World Politics","255",2.7
"19F","POL SCI","20","1","C+",13,234,"MIN, E.A.","1","World Politics","255",2.3
"19F","POL SCI","20","1","C",6,234,"MIN, E.A.","1","World Politics","255",2
"19F","POL SCI","20","1","C-",7,234,"MIN, E.A.","1","World Politics","255",1.7
