"unitid","institution name","year","EFFY2023.Level and degree/certificate-seeking status of student","EFFY2023.Undergraduate or graduate level of student","EFFY2023.Grand total","EFFY2023.Grand total men","EFFY2023.Grand total women","EFFY2023.Hispanic or Latino total","EFFY2023.Hispanic or Latino men","EFFY2023.Hispanic or Latino women","IDX_E12"
"110662","University of California-Los Angeles","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","1465","702","763","308","140","168","-2"
"117733","Los Angeles Valley College","2023","All students total","All students total","24256","10109","14147","12769","5086","7683","-2"
"117733","Los Angeles Valley College","2023","All students, Undergraduate total","Undergraduate","24256","10109","14147","12769","5086","7683","-2"
"117733","Los Angeles Valley College","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","19163","7855","11308","9872","3880","5992","-2"
"117733","Los Angeles Valley College","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","3623","1668","1955","1810","813","997","-2"
"117733","Los Angeles Valley College","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","15540","6187","9353","8062","3067","4995","-2"
"117733","Los Angeles Valley College","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","5093","2254","2839","2897","1206","1691","-2"
"117733","Los Angeles Valley College","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","4868","1898","2970","2436","892","1544","-2"
"117733","Los Angeles Valley College","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","10672","4289","6383","5626","2175","3451","-2"
"117733","Los Angeles Valley College","2023","Full-time students total","Not applicable, undergraduate detail","3294","1531","1763","1706","750","956","-2"
"117733","Los Angeles Valley College","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","3294","1531","1763","1706","750","956","-2"
"117733","Los Angeles Valley College","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","3224","1497","1727","1661","734","927","-2"
"117733","Los Angeles Valley College","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","1147","557","590","636","300","336","-2"
"117733","Los Angeles Valley College","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","2077","940","1137","1025","434","591","-2"
"117733","Los Angeles Valley College","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","70","34","36","45","16","29","-2"
"117733","Los Angeles Valley College","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","261","121","140","115","44","71","-2"
